repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
DataX,0.0,0.0,0.0,5502,7999,2497,5502,15486,2096,121,15353,27677,346.565928704,-264.0,-264.0,5806,1216,4666,884,70,186,4944,74,12,53,4881,2410,1680,2802,116,283,2477,0,5038,81194,4164,1293,2419,950,514,10208,3721,14882,1956,12366,1406,101,252,142,44131,47069,1474,DataX,alibaba/DataX,16800,Java,2018-01-18T10:09:47Z,2025-09-10T13:12:43Z,1336,https://github.com/alibaba/DataX
DoKit,0.0,0.0,0.0,14140,18572,4420,14152,34934,4144,78,28112,225204,795.822938462,-188.0,-188.0,17702,6198,13162,2222,670,1648,15496,100,256,28,7254,2174,1194,5096,90,874,2770,0,10580,160960,13436,1536,7440,1072,1670,9762,11598,23648,6256,18432,2806,978,718,14,99258,82374,2,DoKit,didi/DoKit,20393,Java,2018-08-14T10:32:07Z,2025-09-10T05:40:31Z,269,https://github.com/didi/DoKit
EhViewer,0.0,0.0,0.0,4294,5652,1358,4294,8809,1095,87,8114,27203,172.665931885,-25.0,-25.0,3542,535,2547,572,313,110,2982,30,8,56,2415,1027,649,1723,0,43,1349,0,1803,44372,2196,359,2489,218,349,2741,3395,8027,1150,6065,729,120,194,43,23460,26365,0,EhViewer,seven332/EhViewer,9320,Java,2014-05-14T12:03:52Z,2025-09-10T16:53:50Z,199,https://github.com/seven332/EhViewer
Ehviewer_CN_SXJ,0.0,0.0,0.0,12516,16920,4404,12516,31308,3124,286,25230,124528,632.71419886,-72.0,-72.0,13252,2062,9560,1944,1018,730,11350,210,102,276,8414,3404,2344,5790,64,216,4776,0,6566,149292,8430,1384,8068,818,1504,8954,14282,29684,6312,21490,2258,232,568,276,79108,87816,0,Ehviewer_CN_SXJ,xiaojieonly/Ehviewer_CN_SXJ,19612,Java,2020-11-09T06:14:31Z,2025-09-10T23:07:06Z,304,https://github.com/xiaojieonly/Ehviewer_CN_SXJ
EventBus,0.0,0.0,0.0,1254,1932,678,1254,1862,672,126,1560,3314,57.74484354,-42.0,-42.0,1150,36,922,100,40,88,1052,8,0,16,484,54,42,236,54,152,254,0,238,10538,320,132,216,84,52,678,726,1354,262,1134,216,26,148,2,8232,17422,0,EventBus,greenrobot/EventBus,24768,Java,2012-07-16T16:55:40Z,2025-09-10T16:52:00Z,145,https://github.com/greenrobot/EventBus
ExoPlayer,0.0,0.0,0.0,49792,63876,14084,49792,101212,8498,522,79906,342668,1936.712193042,-152.0,-152.0,47370,5494,33450,8034,2556,3330,39406,182,1092,508,30670,11068,8098,21554,140,878,20820,0,26820,524696,29500,5092,22224,1944,6228,34104,105972,108960,17852,89864,5636,1356,2122,2732,467084,202354,0,ExoPlayer,google/ExoPlayer,21877,Java,2014-06-13T21:19:18Z,2025-09-10T21:00:48Z,637,https://github.com/google/ExoPlayer
FileDownloader,0.0,0.0,0.0,1218,1897,679,1218,3167,454,43,2436,11302,67.78916635,-20.0,-20.0,1712,151,1112,137,108,355,1576,18,1,15,654,138,66,534,4,50,301,0,836,14387,1030,97,531,75,47,1740,520,1637,229,1244,225,51,101,0,12675,12115,2,FileDownloader,lingochamp/FileDownloader,11113,Java,2015-12-22T11:17:16Z,2025-09-10T19:00:13Z,185,https://github.com/lingochamp/FileDownloader
FizzBuzzEnterpriseEdition,0.0,0.0,0.0,528,856,328,528,340,182,0,200,42,7.8233334,-14.0,-14.0,292,14,266,20,0,6,272,0,0,0,218,110,36,112,0,70,204,0,40,1788,118,4,8,4,8,58,48,330,6,324,34,0,4,0,2158,698,0,FizzBuzzEnterpriseEdition,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22775,Java,2012-11-24T00:14:41Z,2025-09-10T13:25:53Z,534,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
FlycoTabLayout,0.0,0.0,0.0,213,266,53,213,582,51,0,439,7362,7.84142458,-2.0,-2.0,326,5,274,23,24,5,303,0,0,0,217,15,7,209,0,1,18,0,38,2730,142,19,118,0,54,85,373,644,207,425,25,9,8,0,1095,13,0,FlycoTabLayout,H07000223/FlycoTabLayout,11126,Java,2015-11-09T01:53:19Z,2025-09-10T11:33:10Z,371,https://github.com/H07000223/FlycoTabLayout
Fragmentation,0.0,0.0,0.0,1486,2057,571,1486,1828,485,61,2061,4293,62.80662475,-6.0,-6.0,1203,73,951,133,38,81,1070,22,5,0,481,109,68,352,10,51,114,0,167,8981,477,36,321,13,80,143,391,1235,96,1002,157,132,27,0,7372,4215,0,Fragmentation,YoKeyword/Fragmentation,9726,Java,2016-02-23T08:54:55Z,2025-09-10T21:00:52Z,191,https://github.com/YoKeyword/Fragmentation
