repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
kafka,0.0,0.0,0.0,131958,176476,44484,131992,221532,24326,2044,297804,1069182,5232.61195623,-706.0,-706.0,133542,11254,95468,20080,2684,15310,114090,684,352,1910,55856,18284,8576,42766,968,3546,43236,0,151916,1349714,72440,14060,27772,13050,6962,245456,244648,270204,45246,267784,16292,1748,4594,32956,995384,519596,10520,kafka,apache/kafka,30868,Java,2011-08-15T18:06:16Z,2025-09-10T18:47:18Z,251,https://github.com/apache/kafka
kafka-ui,0.0,0.0,0.0,3716,4842,1126,3716,3458,775,115,8473,8790,137.393992912,-76.0,-76.0,2414,301,1315,524,59,516,1896,5,0,8,1243,255,45,763,185,250,676,0,2153,18139,1846,75,343,108,88,4022,1397,2627,401,4083,310,22,85,1168,17859,17365,158,kafka-ui,provectus/kafka-ui,11266,Java,2019-11-26T15:55:55Z,2025-09-10T20:32:25Z,343,https://github.com/provectus/kafka-ui
kestra,0.0,0.0,0.0,31498,37236,5738,31498,26000,5570,594,54098,57390,854.691172382,-740.0,-740.0,15052,1634,7058,1690,1040,5264,13406,258,2,30,8016,1322,674,5004,840,1498,2616,0,13544,132748,10146,470,4220,1536,1222,42504,8466,25004,3394,31652,2626,120,626,5550,128972,278434,892,kestra,kestra-io/kestra,21075,Java,2019-08-24T13:56:15Z,2025-09-10T23:22:51Z,453,https://github.com/kestra-io/kestra
kkFileView,0.0,0.0,0.0,569,823,254,569,1448,86,2,1406,13717,29.2500143,0.0,0.0,623,204,538,39,1,45,590,0,0,2,401,231,103,255,0,43,194,0,486,9418,430,85,128,82,101,1097,10824,4907,414,1202,117,0,3,14,3685,100,63,kkFileView,kekingcn/kkFileView,13304,Java,2017-12-12T11:41:08Z,2025-09-10T18:29:19Z,350,https://github.com/kekingcn/kkFileView
languagetool,0.0,0.0,0.0,14027,19375,5307,14068,42481,4146,314,35792,143807,775.346376172,-94.0,-94.0,15824,1820,10674,2631,1282,1237,13324,158,514,46,7223,3660,602,5701,457,463,5108,0,15234,212987,15323,2912,6054,869,2496,72845,23952,34641,8662,26110,3288,154,430,964,141198,95300,180,languagetool,languagetool-org/languagetool,13555,Java,2013-08-08T16:37:22Z,2025-09-10T18:47:21Z,2029,https://github.com/languagetool-org/languagetool
lawnchair,0.0,0.0,0.0,33536,42621,9063,33558,53952,5150,364,54819,315576,1095.908509824,-126.0,-126.0,25420,1864,15689,3969,1704,4058,21456,223,105,72,15576,4585,2866,10891,657,1162,8913,0,9733,248520,14990,1654,11323,945,3706,10546,21886,45046,10933,37520,3257,789,873,2799,213314,130376,0,lawnchair,LawnchairLauncher/lawnchair,11034,Java,2017-03-03T13:12:58Z,2025-09-10T22:54:56Z,498,https://github.com/LawnchairLauncher/lawnchair
leetcode,0.0,0.0,0.0,842,1366,228,1138,2280,330,2,1392,110,80.2588896,0.0,0.0,1094,32,980,72,0,42,1022,0,0,2,702,8,2,620,0,80,72,0,64,8828,688,354,308,0,106,54,1836,2070,804,1690,412,0,12,74,4654,236,0,leetcode,doocs/leetcode,34921,Java,2018-09-16T14:03:03Z,2025-09-10T23:04:14Z,0,https://github.com/doocs/leetcode
litemall,0.0,0.0,0.0,5698,7664,1966,5698,29244,1390,10,10776,1891580,520.425643932,-20.0,-20.0,23694,384,21136,144,798,1616,23552,0,2,2,3880,642,438,3094,314,34,1202,0,2410,181768,20650,362,3990,138,2362,31694,5066,9118,2358,7870,868,10,566,44,46780,74888,206,litemall,linlinjava/litemall,19904,Java,2018-03-22T16:42:30Z,2025-09-10T19:08:27Z,42,https://github.com/linlinjava/litemall
logger,0.0,0.0,0.0,105,150,45,105,181,21,0,165,269,5.62654934,0.0,0.0,104,23,58,21,1,24,83,0,0,2,49,24,6,33,0,10,39,0,77,827,65,8,26,4,0,75,28,122,17,95,16,1,3,0,922,85,0,logger,orhanobut/logger,13891,Java,2015-03-20T22:30:12Z,2025-09-10T13:42:35Z,81,https://github.com/orhanobut/logger
logstash,0.0,0.0,0.0,4646,6651,2005,4646,7378,1414,125,9378,18165,302.25552962,-37.0,-37.0,4855,737,3396,729,218,512,4140,70,77,24,1870,784,331,1389,45,105,1325,0,3840,40405,2886,383,622,467,366,6282,3357,7210,807,6906,642,27,258,562,36641,48099,194,logstash,elastic/logstash,14627,Java,2010-11-18T01:31:50Z,2025-09-09T19:17:15Z,2238,https://github.com/elastic/logstash
lottie-android,0.0,0.0,0.0,4042,6518,2476,4042,8830,754,38,6290,19580,186.52747652,-38.0,-38.0,3554,422,2620,492,42,400,3070,34,22,12,1992,330,130,1612,16,234,1224,0,2032,35780,2532,498,2482,92,580,1898,4486,7294,1824,5198,628,60,80,98,26200,19738,28,lottie-android,airbnb/lottie-android,35469,Java,2016-10-06T22:42:42Z,2025-09-10T21:00:53Z,40,https://github.com/airbnb/lottie-android
mall,0.0,0.0,0.0,8970,11751,2781,8970,45807,2826,36,11121,2532633,812.33178495,-189.0,-189.0,42519,78,36087,219,2550,3663,42300,3,0,0,6783,297,0,5871,912,0,312,0,1068,302709,33597,270,1644,54,48,57189,2085,10902,801,10827,1089,18,693,72,58416,245016,99,mall,macrozheng/mall,81545,Java,2018-04-04T01:11:44Z,2025-09-10T20:23:08Z,12,https://github.com/macrozheng/mall
mall-learning,0.0,0.0,0.0,1238,1602,319,1283,2402,275,75,1402,57148,68.28997309,-29.0,-29.0,2211,53,1773,44,105,289,2167,0,0,0,614,73,2,576,36,0,70,0,121,14384,1563,30,75,16,1,2907,225,915,65,1081,101,4,30,18,5600,9723,115,mall-learning,macrozheng/mall-learning,13249,Java,2019-04-12T13:20:31Z,2025-09-10T18:29:35Z,5,https://github.com/macrozheng/mall-learning
mall-swarm,0.0,0.0,0.0,2894,3775,881,2894,15519,941,10,3711,845159,275.82912141,-54.0,-54.0,14486,252,12357,63,849,1217,14423,0,0,0,2241,101,5,1921,304,11,99,0,349,101603,11331,85,520,10,13,18999,668,3631,249,3544,356,3,231,60,19595,80658,28,mall-swarm,macrozheng/mall-swarm,12599,Java,2019-11-25T06:55:31Z,2025-09-10T18:29:43Z,9,https://github.com/macrozheng/mall-swarm
material-components-android,0.0,0.0,0.0,14680,17895,3207,14688,24101,3168,306,22862,189362,462.35522106,-42.0,-42.0,13729,1275,9075,2304,578,1772,11441,148,73,4,5289,1430,537,4068,36,648,2780,0,5429,114509,7521,820,4687,68,1725,2853,15190,19269,4831,16540,1284,732,400,761,95167,120513,2,material-components-android,material-components/material-components-android,16947,Java,2016-12-05T16:11:29Z,2025-09-10T16:59:42Z,762,https://github.com/material-components/material-components-android
matrix,0.0,0.0,0.0,7913,10147,2234,7913,13153,1871,119,12113,17962,347.663024252,-60.0,-60.0,5552,1000,4037,693,221,601,4879,22,21,68,3326,1312,1143,1526,72,585,1617,0,5420,79032,3640,1296,2228,563,1119,6666,7103,13275,3313,10048,1623,550,356,0,40502,31158,0,matrix,Tencent/matrix,11902,Java,2018-12-11T07:08:02Z,2025-09-10T13:09:28Z,399,https://github.com/Tencent/matrix
metersphere,0.0,0.0,0.0,24735,30127,5392,24735,47009,4808,256,42915,1651953,945.704941698,-1160.0,-1160.0,34451,1184,27397,1922,1856,3276,32881,45,0,12,14785,2880,1281,12329,739,436,3428,0,6366,322032,26652,1198,3235,624,304,66959,8110,32203,3225,37496,2310,333,670,1850,111335,208842,609,metersphere,metersphere/metersphere,12451,Java,2020-02-03T02:06:12Z,2025-09-10T15:12:50Z,94,https://github.com/metersphere/metersphere
miaosha,0.0,0.0,0.0,2372,3280,908,2372,3370,644,64,2692,8180,156.16004638,-110.0,-110.0,2330,300,1926,96,74,234,2242,0,4,10,1628,394,294,1180,12,142,328,0,572,17162,1688,74,392,284,110,2054,1376,3240,424,3268,236,0,36,0,12046,8816,260,miaosha,qiurunze123/miaosha,26505,Java,2018-09-14T04:36:24Z,2025-09-10T18:37:41Z,4,https://github.com/qiurunze123/miaosha
mit-deep-learning-book-pdf,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,13582,Java,2017-04-07T10:46:50Z,2025-09-10T10:39:46Z,12,https://github.com/janishar/mit-deep-learning-book-pdf
mockito,0.0,0.0,0.0,7292,9780,2488,7292,9373,2941,130,10802,38491,273.348355837,-321.0,-321.0,6881,733,5211,573,82,1015,6324,46,17,4,1705,228,99,1161,26,419,692,0,3786,52190,2782,340,716,689,218,7583,3747,5362,653,5300,764,288,880,438,56384,57380,0,mockito,mockito/mockito,15274,Java,2012-10-13T20:27:12Z,2025-09-10T21:05:36Z,471,https://github.com/mockito/mockito
mybatis-3,0.0,0.0,0.0,12344,18300,5956,12344,23534,4324,286,24160,73080,780.438972982,-246.0,-246.0,17096,938,9732,1170,294,5900,16286,116,14,2,7190,3268,2160,4528,366,136,4158,0,2816,120868,7152,748,2518,3122,434,19208,9162,23092,1362,21418,1740,402,492,526,89360,68578,236,mybatis-3,mybatis/mybatis-3,20229,Java,2013-02-14T19:03:32Z,2025-09-10T12:58:01Z,202,https://github.com/mybatis/mybatis-3
mybatis-plus,0.0,0.0,0.0,6160,8438,2225,6213,7786,1388,122,9606,26127,192.767054822,-259.0,-259.0,4658,566,2789,337,341,1191,4351,21,26,5,1807,336,48,1508,87,164,636,0,2307,39071,3292,286,898,226,246,10055,2010,6163,1049,6144,628,52,176,809,29654,37991,185,mybatis-plus,baomidou/mybatis-plus,17097,Java,2016-08-18T10:06:53Z,2025-09-10T18:44:58Z,85,https://github.com/baomidou/mybatis-plus
nacos,0.0,0.0,0.0,45786,62504,16718,45786,66310,10332,1070,92410,185576,2261.873576124,-752.0,-752.0,44146,3794,24866,3140,946,15194,41176,276,82,148,19852,6866,2944,14078,384,2446,9314,0,19672,370782,22282,2590,5890,3036,1702,66126,23652,69526,7826,66446,5162,992,758,2884,294254,321582,3322,nacos,alibaba/nacos,32029,Java,2018-06-15T06:49:27Z,2025-09-10T03:11:19Z,266,https://github.com/alibaba/nacos
netty,0.0,0.0,0.0,69990,102486,32496,69990,143046,23900,2078,134926,1061052,2951.793339742,-666.0,-666.0,84858,9976,54302,9584,8176,12796,75694,1250,2366,138,23384,9736,3178,16170,340,3696,16380,0,38424,763764,47416,7004,18996,7534,40956,52908,164320,104910,66318,85822,10898,6820,2414,712,546566,662458,1884,netty,netty/netty,34420,Java,2010-11-09T09:22:21Z,2025-09-10T21:20:54Z,655,https://github.com/netty/netty
newbee-mall,0.0,0.0,0.0,448,701,253,448,1159,95,0,759,3107,31.22755821,-1.0,-1.0,727,32,564,4,0,159,723,0,0,0,247,23,15,231,0,1,22,0,274,3935,533,27,131,7,7,776,192,596,53,560,76,0,1,4,2653,1121,0,newbee-mall,newbee-ltd/newbee-mall,11391,Java,2019-09-21T03:56:04Z,2025-09-10T18:29:41Z,7,https://github.com/newbee-ltd/newbee-mall
okhttp-OkGo,0.0,0.0,0.0,2040,3107,1067,2040,2809,586,48,2970,7020,66.50219531,-19.0,-19.0,1613,216,1314,96,110,93,1517,12,2,27,693,189,180,350,46,117,217,0,643,13418,818,152,550,112,130,1184,618,1902,405,1536,246,121,48,0,8019,24000,7,okhttp-OkGo,jeasonlzy/okhttp-OkGo,10603,Java,2016-01-15T10:35:24Z,2025-09-06T10:17:42Z,469,https://github.com/jeasonlzy/okhttp-OkGo
onedev,0.0,0.0,0.0,47924,60219,12295,47924,55221,11582,869,70118,213708,1859.589560552,-152.0,-152.0,28254,1456,17921,2488,6369,1476,25796,581,289,20,9158,3309,841,7951,101,265,6035,0,6603,329882,18994,4781,9789,1513,1307,99439,10910,37981,4850,33147,6516,4466,289,1482,223460,416141,649,onedev,theonedev/onedev,14245,Java,2018-11-06T02:57:01Z,2025-09-10T20:41:12Z,0,https://github.com/theonedev/onedev
paascloud-master,0.0,0.0,0.0,4529,6022,1465,4557,3222,976,73,4225,4049,117.58349191,-245.0,-245.0,2012,216,1261,163,33,555,1851,2,2,2,2119,356,87,1932,11,89,375,0,496,16428,1164,169,396,89,31,3520,797,2694,145,3918,316,8,34,19,21155,5165,525,paascloud-master,paascloud/paascloud-master,9894,Java,2018-03-17T05:40:43Z,2025-09-10T18:42:10Z,105,https://github.com/paascloud/paascloud-master
piggymetrics,0.0,0.0,0.0,598,806,208,598,339,105,0,705,379,22.51170671,-3.0,-3.0,304,13,262,12,3,27,292,0,0,0,154,11,1,151,2,0,27,0,48,1881,124,2,17,4,1,295,112,292,19,354,12,0,2,12,2058,113,19,piggymetrics,sqshq/piggymetrics,13685,Java,2015-03-29T17:56:31Z,2025-09-10T13:29:57Z,21,https://github.com/sqshq/piggymetrics
pkl,0.0,0.0,0.0,10240,15534,5294,10240,12826,7126,1523,12045,46922,244.946854471,-201.0,-201.0,7229,831,4185,981,1528,535,6289,176,168,5,2095,597,278,1529,90,198,1572,0,3885,62578,6018,683,2215,315,350,3984,4015,7433,807,6601,1107,33,962,366,42356,710109,27,pkl,apple/pkl,10848,Java,2024-01-19T17:28:45Z,2025-09-10T22:51:17Z,182,https://github.com/apple/pkl
plantuml,0.0,0.0,0.0,28073,41360,13287,28073,47427,6070,946,45937,143667,1065.53198891,-265.0,-265.0,22163,3576,15763,3967,1173,1260,18245,109,1480,80,8501,1926,1497,6360,172,472,6187,0,11023,186971,19323,3997,11800,1051,4852,31769,42785,44577,16914,33439,3984,346,248,214,146387,137804,400,plantuml,plantuml/plantuml,12052,Java,2010-11-04T15:55:50Z,2025-09-10T23:15:26Z,540,https://github.com/plantuml/plantuml
proxyee-down,0.0,0.0,0.0,662,900,238,662,1386,176,0,2062,2342,45.67280602,-4.0,-4.0,636,168,522,90,18,6,552,0,0,10,498,112,78,216,0,204,90,0,584,6784,458,92,276,96,64,1032,500,1414,190,1330,206,14,22,84,4270,212,30,proxyee-down,proxyee-down-org/proxyee-down,24868,Java,2017-10-25T10:07:27Z,2025-09-10T18:12:34Z,214,https://github.com/proxyee-down-org/proxyee-down
pulsar,0.0,0.0,0.0,50901,64960,14042,50918,86083,12635,2188,132781,631876,1614.518367231,-952.0,-952.0,42899,2968,28531,4344,3320,6704,38714,235,356,523,19468,3772,1888,14066,1509,2005,8449,0,24453,521162,25012,6790,12457,6937,3632,96428,64819,100642,18061,100532,6682,1401,1977,13294,347295,246408,9200,pulsar,apache/pulsar,14840,Java,2016-06-28T07:00:03Z,2025-09-10T18:51:14Z,1584,https://github.com/apache/pulsar
react-native-image-picker,0.0,0.0,0.0,68,80,12,68,187,17,2,179,728,3.65364803,-1.0,-1.0,71,38,38,4,1,28,67,3,0,0,37,11,10,4,3,20,6,0,87,811,87,4,37,18,11,98,52,183,14,146,14,0,0,3,495,1033,0,react-native-image-picker,react-native-image-picker/react-native-image-picker,8589,Java,2015-06-08T20:25:31Z,2025-09-06T19:11:31Z,324,https://github.com/react-native-image-picker/react-native-image-picker
realm-java,0.0,0.0,0.0,8209,11907,3698,8209,21287,2319,135,15681,98943,290.01862905,-163.0,-163.0,10890,1083,8434,1102,388,966,9807,142,78,47,3683,1098,1127,2203,60,293,1612,0,2894,110167,5647,1187,3552,977,1445,9301,8823,14999,2090,13350,932,941,250,423,58610,62534,71,realm-java,realm/realm-java,11485,Java,2012-04-20T09:18:42Z,2025-09-10T21:00:47Z,398,https://github.com/realm/realm-java
redisson,0.0,0.0,0.0,33990,46692,12400,34292,71670,7660,1970,61988,1029438,1037.59264516,-382.0,-382.0,48960,866,32298,1704,1958,13000,47298,116,214,16,9210,1914,346,6790,252,1822,4532,0,16394,337608,30620,3098,8908,1778,2310,59632,42552,50770,6364,51038,4332,1284,638,6550,210612,127660,734,redisson,redisson/redisson,24024,Java,2014-01-11T14:06:25Z,2025-09-09T18:35:24Z,314,https://github.com/redisson/redisson
resilience4j,0.0,0.0,0.0,11154,14770,3616,11154,10220,2338,220,17294,30240,316.732609043,-98.0,-98.0,8283,709,6073,711,265,1234,7574,40,8,0,2519,553,185,1917,84,333,1371,0,4995,61840,4316,108,518,396,82,7623,5724,9540,645,10635,720,29,363,2191,52665,55867,274,resilience4j,resilience4j/resilience4j,10359,Java,2015-06-03T09:21:01Z,2025-09-10T14:47:24Z,268,https://github.com/resilience4j/resilience4j
rocketmq,0.0,0.0,0.0,39340,55494,16154,39340,84832,7614,932,106978,696560,1781.067506682,-230.0,-230.0,43682,3106,36438,3482,1280,2482,40304,132,48,248,19278,5382,2822,14170,1690,596,8438,0,20644,430722,28912,5682,13146,4548,2686,39026,44546,84398,14344,71776,6844,910,564,2954,241248,122940,6218,rocketmq,apache/rocketmq,22087,Java,2016-11-30T08:00:08Z,2025-09-10T13:46:45Z,327,https://github.com/apache/rocketmq
ruoyi-vue-pro,0.0,0.0,0.0,59190,75444,16254,59190,36222,9176,428,65314,122096,1133.184387182,-3264.0,-3264.0,23794,1552,14002,2066,336,7390,21740,66,38,4,28574,1208,796,25264,220,2294,2414,0,7230,186886,16506,504,4442,692,320,62434,12240,27078,1642,54846,2496,120,462,5676,225228,65974,1422,ruoyi-vue-pro,YunaiV/ruoyi-vue-pro,33150,Java,2021-01-24T03:18:25Z,2025-09-10T22:01:29Z,5,https://github.com/YunaiV/ruoyi-vue-pro
selenium,0.0,0.0,0.0,22262,31804,9542,22262,30950,5166,398,47436,122378,808.086098826,-254.0,-254.0,20654,1424,11068,1956,790,6840,18718,242,22,44,6674,1644,750,5242,140,542,4658,0,16510,177022,11444,936,2570,2190,1698,43526,9660,32884,3352,34138,3112,580,706,4974,147958,108266,242,selenium,SeleniumHQ/selenium,33156,Java,2013-01-14T21:40:56Z,2025-09-10T23:21:15Z,272,https://github.com/SeleniumHQ/selenium
source-code-hunter,0.0,0.0,0.0,0,0,0,0,2,2,0,2,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2,0,source-code-hunter,doocs/source-code-hunter,22944,Java,2019-10-28T01:35:10Z,2025-09-10T21:07:19Z,8,https://github.com/doocs/source-code-hunter
spark,0.0,0.0,0.0,1004,1612,608,1004,2084,287,20,2172,10413,54.150074013,-13.0,-13.0,1360,345,1163,90,41,66,1278,14,11,30,381,199,47,278,23,33,169,0,830,9588,647,79,255,83,84,2110,1032,1546,246,1616,197,14,24,168,10431,19055,62,spark,perwendel/spark,9661,Java,2011-05-05T11:52:05Z,2025-09-10T19:52:49Z,259,https://github.com/perwendel/spark
spider-flow,0.0,0.0,0.0,867,1290,423,867,2104,279,3,1617,3273,51.62798693,-11.0,-11.0,966,279,839,76,3,48,892,7,0,3,358,108,59,292,0,7,136,0,426,8748,936,126,418,102,177,1247,326,1164,180,994,207,1,33,30,5270,5510,145,spider-flow,ssssssss-team/spider-flow,10893,Java,2020-03-27T11:07:15Z,2025-09-10T23:16:02Z,22,https://github.com/ssssssss-team/spider-flow
spring-analysis,0.0,0.0,0.0,80,106,26,80,88,41,2,86,59,3.13333337,0.0,0.0,79,5,76,0,0,3,79,0,0,0,12,0,0,12,0,0,1,0,7,378,26,4,2,0,3,79,9,39,16,35,3,1,1,0,360,1056,0,spring-analysis,seaswalker/spring-analysis,13726,Java,2016-09-09T07:46:32Z,2025-09-10T18:29:08Z,19,https://github.com/seaswalker/spring-analysis
spring-boot,0.0,0.0,0.0,4714,6128,1391,4737,6997,1127,108,11400,19188,240.346802484,-37.0,-37.0,5016,367,1220,1327,177,2292,3704,128,20,4,1396,312,51,1216,6,123,1026,0,1646,39025,2353,285,765,430,283,10362,982,5770,1080,6474,687,23,220,1056,35758,95244,45,spring-boot,spring-projects/spring-boot,78333,Java,2012-10-19T15:02:57Z,2025-09-10T22:41:16Z,603,https://github.com/spring-projects/spring-boot
spring-boot-admin,0.0,0.0,0.0,3602,5024,1422,3602,2233,583,60,5923,3347,102.77287711,-55.0,-55.0,1793,120,778,183,223,609,1614,15,1,0,958,209,39,904,0,15,614,0,1377,13740,969,24,129,26,43,4413,661,2335,209,2791,198,20,112,635,14154,31082,93,spring-boot-admin,codecentric/spring-boot-admin,12683,Java,2014-07-25T11:39:13Z,2025-09-10T18:33:12Z,43,https://github.com/codecentric/spring-boot-admin
spring-boot-api-project-seed,0.0,0.0,0.0,75,91,16,75,102,19,0,147,146,3.23751255,-3.0,-3.0,60,16,40,9,0,11,51,0,0,0,29,21,7,21,1,0,23,0,22,484,30,2,12,5,1,108,16,83,25,75,7,2,0,0,384,2075,4,spring-boot-api-project-seed,lihengming/spring-boot-api-project-seed,9685,Java,2017-06-23T10:06:30Z,2025-09-10T18:45:09Z,112,https://github.com/lihengming/spring-boot-api-project-seed
spring-boot-demo,0.0,0.0,0.0,4870,5914,1044,4870,2666,1090,56,4640,2238,84.24876948,-210.0,-210.0,1994,286,1626,124,40,204,1876,0,0,14,1406,136,40,1254,4,108,244,0,428,14326,978,66,98,84,108,3388,1070,2164,348,3032,240,8,12,184,17608,5234,450,spring-boot-demo,xkcoding/spring-boot-demo,33897,Java,2017-11-10T06:27:29Z,2025-09-10T17:06:44Z,142,https://github.com/xkcoding/spring-boot-demo
spring-boot-examples,0.0,0.0,0.0,2902,3692,536,3156,1950,630,8,1956,3090,73.07420236,-30.0,-30.0,1764,132,1540,28,20,176,1740,0,0,0,546,46,0,528,2,16,38,0,40,8922,744,38,50,40,36,2384,262,1072,262,1130,106,8,8,10,7534,632,82,spring-boot-examples,ityouknow/spring-boot-examples,30596,Java,2016-11-05T05:32:33Z,2025-09-10T18:14:31Z,17,https://github.com/ityouknow/spring-boot-examples
spring-framework,0.0,0.0,0.0,95714,122536,26816,95720,136139,27015,2297,148649,541130,3274.283511061,-2645.0,-2645.0,90093,5218,42776,7551,6985,32781,82721,646,985,57,23651,5024,2049,18894,642,2066,12610,0,24156,751567,44271,4367,18145,3433,7913,127523,36272,109513,10723,102243,9276,1306,8436,10664,757171,1064829,2213,spring-framework,spring-projects/spring-framework,58819,Java,2010-12-08T04:04:45Z,2025-09-10T18:14:16Z,317,https://github.com/spring-projects/spring-framework
spring-reading,0.0,0.0,0.0,816,1179,250,929,478,298,14,947,157,4.28095242,-35.0,-35.0,380,169,338,26,1,15,355,0,0,0,50,4,0,50,0,0,12,0,67,3078,110,29,14,22,13,729,36,640,298,638,66,3,2,3,3826,2365,0,spring-reading,xuchengsheng/spring-reading,9697,Java,2023-09-15T06:42:44Z,2025-09-10T18:52:38Z,36,https://github.com/xuchengsheng/spring-reading
spring-security,0.0,0.0,0.0,51672,65258,13584,51674,43583,8478,424,74871,70388,1620.970226693,-307.0,-307.0,33164,2209,21811,4357,774,6222,28898,88,349,10,12345,3412,790,10166,144,1245,5991,0,11837,272450,15500,977,4124,788,1333,47554,7721,48449,3008,49653,2973,275,2670,8236,296479,229306,969,spring-security,spring-projects/spring-security,9290,Java,2012-01-10T21:50:57Z,2025-09-10T17:01:15Z,1130,https://github.com/spring-projects/spring-security
springboot-learning-example,0.0,0.0,0.0,526,723,141,582,389,119,11,408,325,19.03040082,-7.0,-7.0,379,15,313,6,1,59,373,0,0,0,137,28,0,118,0,19,25,0,7,1641,204,1,1,1,0,368,52,196,32,221,8,2,0,3,1988,110,20,springboot-learning-example,JeffLi1993/springboot-learning-example,16557,Java,2017-02-06T07:02:25Z,2025-09-10T18:45:08Z,54,https://github.com/JeffLi1993/springboot-learning-example
stetho,0.0,0.0,0.0,2575,3665,1090,2575,3306,837,43,3096,4408,107.93958091,-116.0,-116.0,1861,264,1226,336,91,208,1532,32,35,48,1036,164,379,618,4,35,527,0,816,19241,1031,182,556,150,129,1093,637,2619,283,2367,378,69,264,0,17999,24663,0,stetho,facebook/stetho,12710,Java,2015-01-22T22:34:10Z,2025-09-10T21:00:49Z,83,https://github.com/facebook/stetho
storm,0.0,0.0,0.0,3766,5403,1637,3766,11297,1096,53,7434,28143,256.380043956,-38.0,-38.0,5740,431,4947,298,102,393,5598,4,1,8,1922,728,460,918,9,535,861,0,876,60552,4077,626,1834,284,437,2093,1731,6236,486,4633,763,90,311,0,32268,20591,59,storm,nathanmarz/storm,8811,Java,2011-09-17T07:55:13Z,2025-08-31T18:39:48Z,41,https://github.com/nathanmarz/storm
storm,0.0,0.0,0.0,3766,5403,1637,3766,11297,1096,53,7434,28143,256.380043956,-38.0,-38.0,5740,431,4947,298,102,393,5598,4,1,8,1922,728,460,918,9,535,861,0,876,60552,4077,626,1834,284,437,2093,1731,6236,486,4633,763,90,311,0,32268,20591,59,storm,apache/storm,6651,Java,2013-11-05T08:00:14Z,2025-09-04T18:51:08Z,48,https://github.com/apache/storm
supertokens-core,0.0,0.0,0.0,10713,15372,4659,10713,16864,1555,179,18953,69294,567.3217414,-38.0,-38.0,6237,1856,5023,735,329,150,5510,12,1,28,1609,441,926,539,3,141,626,0,20152,107469,4696,1431,4211,2136,1681,39227,12838,22945,2539,21511,1571,109,145,838,53093,15125,281,supertokens-core,supertokens/supertokens-core,14496,Java,2020-01-05T13:30:52Z,2025-09-10T20:45:10Z,142,https://github.com/supertokens/supertokens-core
tech-interview-for-developer,0.0,0.0,0.0,17,25,8,17,118,13,0,53,12,1.84285719,0.0,0.0,39,14,32,1,0,6,38,0,0,0,16,5,1,5,0,10,0,0,17,636,24,25,29,0,9,13,151,138,84,84,23,0,4,0,188,34,0,tech-interview-for-developer,gyoogle/tech-interview-for-developer,16497,Java,2019-06-09T04:42:57Z,2025-09-10T17:20:43Z,16,https://github.com/gyoogle/tech-interview-for-developer
termux-app,0.0,0.0,0.0,5694,8511,2817,5694,19935,1377,120,13803,58575,311.1805326,-117.0,-117.0,6846,2190,5700,669,105,372,6225,33,9,312,4425,2865,2454,1401,180,390,3375,0,9174,73686,6978,693,5250,549,1515,15837,14637,14232,4842,10818,1392,126,210,171,69570,25590,0,termux-app,termux/termux-app,44944,Java,2015-10-23T09:42:46Z,2025-09-10T22:09:54Z,465,https://github.com/termux/termux-app
testing-samples,0.0,0.0,0.0,473,557,84,473,343,116,0,691,271,22.54146849,-6.0,-6.0,269,26,194,29,34,12,241,0,3,0,148,53,25,107,6,10,72,0,68,1849,74,7,31,9,6,184,114,300,25,284,31,12,7,0,3942,84,0,testing-samples,android/testing-samples,9276,Java,2014-10-11T03:51:27Z,2025-09-04T02:20:42Z,129,https://github.com/android/testing-samples
tink,0.0,0.0,0.0,11231,14993,3762,11231,13795,1888,122,20902,44061,492.685605378,-41.0,-41.0,9012,1984,7025,1542,16,429,7479,53,151,125,3378,1919,774,2210,10,384,2722,0,9012,82161,4167,769,1353,481,932,15769,18795,21555,4007,19546,1010,86,418,1875,81397,55797,1,tink,tink-crypto/tink,13556,Java,2014-06-06T16:21:09Z,2025-09-10T12:59:25Z,0,https://github.com/tink-crypto/tink
